编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
9290,巴基斯坦客户来访邀请函咨询,深圳市人民政府外事办公室,2016.08.01,2016.08.03,"您好！我看到在申请国外客户来访邀请函的时候，有一点要求是：9．申请单位与被邀请单位直接商务往来、具有法律约束力相关证明文件。（如：①盖有海关印章的中国海关报关单及相匹配的盖有船务公司章的发货提单；②中国国内银行信用证；③加盖银行章的中国国内银行收付款水单等具备法律效力的资料）。申请单位可提供①②或者①③，复印件即可。由于客户在华有采购部的，所以当时给我们公司打款，打的是人民币，请问这样的情况下我们出具客户打人民币货款水单有没有问题呢？ 另外有个巴基斯坦客户是新客户，暂时没有合作过的，那么要给他邀请函的话请问我们需要出具什么资料呢？ 盼复，谢谢
		","??? 我办于8月1日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．国内银行收付款水单需为申请单位和被邀请单位的交易单据，如出现第三方公司请申请单位出具情况说明；??? 2．新客户商务类邀请确认函的申请，您可以登录深圳市外办网站http://www.szfao.gov.cn/zxbs/ygcgfg/wg/了解有关事宜；??? 3．由于您所咨询的问题涉及到具体操作，为更方便您了解，您可以拨打咨询电话：88125982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",1.1055741766519134e-08
9215,申请临时商务签证《邀请确认函》,深圳市人民政府外事办公室,2016.08.04,2016.08.08,"申请临时商务签证《邀请确认函》 网页注册公司信息关于注册日期、颁证日期，经营期限日期的有关日期的下拉菜单不能出来，注册不了。咨询电话一直是忙状态，接不进去。无法咨询。
		","??? 我办于8月4日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站http://www.szfao.gov.cn/zxbs/ygcgfg/wg/了解；??? 2.由于全市外国人来深《邀请确认函》业务咨询量很大，业务繁忙时请咨询人员耐心等待，不便之处敬请谅解；??? 3．注册信息中日期无法输入建议您使用IE8或IE9版本浏览器进行注册，其他浏览器会登录系统会出现不兼容的情况。由于您所咨询的问题涉及到具体操作，为更方便您了解，您可以拨打咨询电话：88125982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",1.4206996468146826e-08
4025,给刚果民主共和国的合作伙伴办理被授权单位邀请函,深圳市人民政府外事办公室,2017.02.10,2017.02.13,"尊敬的深圳市人民政府外事办公室的领导：您好！我是深圳源创智能照明有限公司的外贸业务员马国华。我们正在和一家刚果民主共和国的太阳能工程公司合作。现在我们的合作伙伴需要来我们公司来签订合作协议。他们需要在本月办理签证事宜，而且他们的签证需要我们给他们办理被授权单位合作协议。所以前来咨询，请领导给你支持。万分感谢！！！
		","??? 我办于2月10日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站http://www.szfao.gov.cn/zxbs/ygcgfg/wg/下载最新申请外国人来深《邀请确认函》办理指南（2016年4月14日更新）了解具体申办材料；??? 2.由于您所咨询的邀请确认函问题涉及到具体操作，为更方便您了解，您可以拨打咨询电话：88125982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",1.523194126384908e-08
23895,涉外婚姻使用的无婚姻证明,深圳市人民政府外事办公室,2014.08.07,2014.08.11,"您好，关于涉外婚姻，我有几点问题想要咨询，希望您能够给予回复。 1，我需要办理涉外婚姻用的未婚公证（在国外使用），是否需要先去当地民政局办理无婚姻证明？ 2，在民政局开局无婚姻证明后，是否可以在贵处办理公证？或者是到深圳市内任意公证处公证？ 3，公证后是否可以委托贵处寄送到广东省外办申请办理领事认证和代办使馆认证？ 3，如果可以办理公证／领事认证，应如何申请，同时需要哪些资料？ 
		","??? 我办于8月7日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的事情应该是未婚证明公证问题，不在市外办业务范围内，市外办仅代办领事认证，不做公证。建议您咨询深圳市公证处；??? 2．如需办理公证书的领事认证，申请人需以书面及当场递交材料方式提出行政服务申请，具体材料如下：??? （1）《涉外公证书》原件，公证书内容页复印件 1份??? （2）《送认证介绍信》1份，复印件1份??? （3）《申办领事认证函》1份，复印件1份????????? 注：以上文书由市司法部门公证处出具，缺一不可??? （4）根据不同国家的要求，另需提供身份证复印件，户口本等材料??? 3．受理机关及地点?????? 受理机关：深圳市人民政府外事办公室?????? 地? 址：广东省深圳市福田区福中三路市民中心行政服务大厅西厅50号窗口??? 4．为更方便您了解，您可以拔打咨询电话：82105985进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",1.6651690248892237e-08
24204,重新办理《邀请确认函》,深圳市人民政府外事办公室,2014.06.19,2014.06.23,"日本人来华就业，已入境并办理了《外国人就业证》，后因护照和工作签证丢失，不能办理居留许可，需要重新办理《邀请确认函》。已提交情况说明给外事办，情况说明审核通过后提交了重新办理《邀请确认函》的资料，现还在审核阶段，24号领结果。因当时报件时无香港身份证，审批表上的签证办理地点是日本。如果现在已有香港身份证，想在香港办理职业签证，是否可以再次申请《邀请确认函》。盼复，谢谢！
		","??? 我办于6月19日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．已申办我办《邀请确认函》的该日籍申请人，如需更改办理签证地点，无需再次递交申请，可持其香港身份证原件到我办业务受理窗口申请更改《邀请确认函》；??? 2．由于您所咨询的问题涉及到具体操作，为更方便您了解，您可以拔打咨询电话：82105982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
",1.9506782966693947e-08
20174,申请外国人来华《邀请确认函》 材料咨询,深圳市人民政府外事办公室,2015.05.19,2015.05.21,"你好 ，需要给巴基斯坦客户版邀请确认函，申请外国人来华《邀请确认函》中第九项资料：，“申请单位与被邀请单位直接商务往来、具有法律约束力相关证明文件。（如：①盖有海关印章的中国海关报关单及相匹配的盖有船务公司章的发货提单；②中国国内银行信用证；③加盖银行章的中国国内银行收付款水单等具备法律效力的资料）。申请单位可提供①②或者①③，复印件即可。” 第1条有，第2条没有，第3条，客户打款是另一公司名可以吗？ 如果不可以，那么是不是需要客户提供“①商业登记资料、②税务登记资料、③附有公司标志的办公场所室内外实物照片” 呢？谢谢
		","??? 我办于5月19日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．申请单位与被邀请单位已有商务往来，若无法提供?盖有银行公章的中国国内银行信用证，则需提供?盖有申请单位报关专用章和海关验讫章（或放行章）的中国海关报关单及相匹配的盖有船务公司章的发货提单和?盖有银行电子回单专用章或转（验）讫章或业务公章的中国国内银行收付款水单。若水单上的收付款公司名称与审批表上的公司名称不一致，需另附情况说明（信笺纸打印，加盖公章）解释其不一致的原因以及公司之间的关系；??? 2．由于您所咨询的问题涉及到具体操作，为更方便您了解，您可以拔打咨询电话：82105982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",2.9532480239069514e-08
23016,深圳国际马拉松外国选手邀请需要证件,深圳市人民政府外事办公室,2014.11.14,2014.11.17,"您好：外事办的工作人员，我是深圳国际马拉松特邀负责人。有些事情需要咨询：邀请外国选手来深圳参加马拉松比赛，我们需要提供具体哪些证件。我看了《邀请确认函》办理指南，对所需提交材料第2条 第8条 第九条 条款有疑问。第二条详细报告是不是可以用word文档做出打印即可。第八条的派遣证明是不是由我们签订合作的经纪公司提供证明。第九条我们没有涉及商务来往？可否不用提供。
		","??? 我办于11月14日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的事情应该是申请外国人来深《邀请确认函》的有关事宜。其中，您咨询的三项材料属于办理商务签证《邀请确认函》所需提交的材料，办理体育赛事签证《邀请确认函》请您登录深圳市外办网站www.szfao.gov.cn了解，所需提交的材料请您参阅申请外国人来深《邀请确认函》办理指南；??? 2．由于您所咨询的问题涉及到具体操作，为更方便您了解，您可以拔打咨询电话：82105982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
",3.873166543044704e-08
23899,关于《邀请确认函》格式变更,深圳市人民政府外事办公室,2014.08.07,2014.08.11,"你好，我想请问，深圳外事办从7月份开始申请外商来华的《邀请确认函》的格式有变更吗，为什么我们巴西客户说，他们去中国驻巴西大使馆提交外事办2014年7月7日签发的《邀请确认函》时，大使馆告诉她不接受这种文件，告诉她要提供另外一种格式的文件。 请帮忙回复，谢谢！
		","??? 我办于8月7日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1、您所关注的问题应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站www.szfao.gov.cn了解；??? 2、被授权单位即深圳市人民政府外事办公室颁发的《邀请确认函》包括邀请确认函及邀请人员名单（A4纸质版两张），该版本为目前外交部实行的正式版本；??? 3、涉及到申请《邀请确认函》的具体操作时，为更方便您了解，您可以拔打咨询电话：82105982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",6.061968782500315e-08
852,申请APEC商务旅行卡有关社保单的问题,深圳市人民政府外事办公室,2017.04.17,2017.04.18,"您好，请问递交初审材料中，第12项“（十二）社保清单（由企业统一办理、连续一年以上的社保清单），收原件1份；”的规定，是不是要求申请人一定要在申请企业中缴交满一年的社保才符合申请资格，如果申请人只在该企业中缴交了一个月，但在深圳已累计缴交社保超一年，是不是也不能申请。 盼望能早日得到回复，谢谢
		","??? 我办于4月17日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 按规定，企业人员申办APEC商务旅行卡的应在申请单位工作满1年。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
",9.399247202779293e-08
22949,办理APEC卡社保和工商企业登记信息,深圳市人民政府外事办公室,2014.11.21,2014.11.21,"1、此人为公司法人，社保在公司才6个月，在这之前都是他自己在交。这样是不否符合办理APEC卡条件。 2、工商企业登记信息材料（基本信息、股东信息、成员信息），此材料是不是需要去市场监督局打公司成立的所有登记资料，还是说没有固定的格式公司自己印一份包含以上三个信息的证材料，加盖公司公章。望回复，非常感谢！！
		","??? 我办于10月21日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1.?如申请人是公司法人，虽在单位缴交社保不足1年，也可以提出申请；??? 2.?您可以登录市场监督局的网站，打印工商企业登记信息材料（基本信息、股东信息、成员信息），并加盖公司公章。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
",1.6571569905199368e-07
8706,关于外国人来华邀请函,深圳市人民政府外事办公室,2016.08.27,2016.08.29,"请问外国人来华的《邀请确认函》和《被授权单位邀请函》有什么区别？可以起相同的作用吗？具体需要邀请单位和被邀请人提供哪些资料（被邀请人为3人，来自同一家国外公司，来华参加展会，商务洽谈），正常情况下几个工作日可以完成审批？希望能尽快回复，谢谢！
		","??? 我办于8月27日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的外国客户商务类邀请确认函的事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站http://www.szfao.gov.cn/zxbs/ygcgfg/wg/了解具体申办材料；??? 2．《邀请确认函》就是《被授权单位邀请函》，临时商务签证《邀请确认函》需4个审批工作日。由于您所咨询的商务类邀请确认函问题涉及到具体操作，为更方便您了解，您可以拨打咨询电话：88125982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",3.6716284124160836e-07
25649,关于无签证出境的问题,深圳市人民政府外事办公室,2013.07.14,2013.07.15,"你好，请教深圳-吉隆坡-第二天转飞日惹，全程亚航，不办理签证在深圳可以出关吗？计划LCCT办理过境签抵达日惹后办理落地签，担心无签证深圳边检不放行。特此咨询，谢谢。
		","??? 我办于7月14日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下： ????我办相关业务处室已致电回复陈先生，根据持因公护照出访免签或境外签国家管理规定，必须持有“出国（境）证明”及机票才能出境；现陈先生持有普通护照，能否出境，请其向公安部出入境管理局咨询。 ????谢谢您对我办工作的支持和理解，以上情况特此告知。
",3.985810582696203e-07
25308,关于公司营业执照和个人在职证明的外事认证,深圳市人民政府外事办公室,2013.10.17,2013.10.21,"您好！本人在申请阿根廷的个人旅游签证，领馆要求提供公司营业执照和个人在职证明，两份文件都需要西班牙文翻译公证和广东省外事办认证。公证做好后需要到贵处办理外事认证，请问办理时要提供什么资料？需要多长时间？费用多少？在什么地方办理？如能一一回复不胜感激，谢谢！
		","??? 我办于10月17日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的事情应该是申请阿根廷签证认证的有关事宜，办理需要准备具体材料为：公证书、领事认证介绍信、申请领事认证委托函；??? 2．将上述材料一并提交至市民中心行政服务大厅西厅50号窗口，一般需10个工作日，收费为50元/份（加急件需5个工作日，另加收费30元/份）；??? 3. 为更方便您了解，您可以拔打咨询电话：82105985进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
",9.59099130226626e-07
24442,尼日利亚客户来华正式邀请函咨询（客户已经打款）,深圳市人民政府外事办公室,2014.05.14,2014.05.14,"尊敬的外事办，我是来自科伦特科技的外贸业务姜艳松。我司最近接到了一个尼日利亚的项目。客户已经打钱，这里想帮客户申请正式的来华邀请函，进一步促进我们双方的合作关系。烦请通知我司需准备哪些材料以便申请正式邀请。 谢谢。 best regards Derek
		","??? 我办于5月14日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站www.szfao.gov.cn了解；??? 2．由于您所咨询的问题涉及到具体操作，为更方便您了解，您可以拔打咨询电话：82105982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
",9.65558348942075e-07
8070,入境报件网上表格有些无法填,深圳市人民政府外事办公室,2016.09.18,2016.09.19,"网上填报外国人来华的申请报件，其中办理签证地点（中文）栏，（英文）栏以及被邀请单位所在国家一栏都无法填写，点击选择图标没有反应。而点击“保存”，就蹦出提示“请填写办理签证地点（中文）”，栏目不能为空，请问这种情况应该怎么办？
		","??? 我办于9月18日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下： ??? 1．您所关注的国外客户邀请确认函的事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站http://www.szfao.gov.cn/zxbs/ygcgfg/wg/了解具体申办材料；??? 2．办理签证地点及被邀请单位所在国家若出现系统无法选择的情况，建议您使用IE8版本浏览器进行申报，使用其他浏览器登录系统会出现不兼容的情况。??? 3．由于您所咨询的问题涉及到具体操作，为更方便您了解，您可以拔打咨询电话：88125982进行具体的业务咨询。 ??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",1.0754209213148513e-06
